"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7791","test_cancel_report_deletion[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","330","test_create_employee_minimal","tests.api","2026-08-17","passed","2026-08-17","","test_employees_api","",""
"","383","test_get_employees_returns_data","tests.api","2026-08-17","passed","2026-08-17","","test_employees_api","",""
"","10190","test_add_and_delete_employee[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_pim","",""
"","394","test_create_employee_with_middle_name","tests.api","2026-08-17","passed","2026-08-17","","test_employees_api","",""
"","13588","test_create_and_delete_report[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","13823","test_create_report[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","2597","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","1818","test_successful_login[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_login","",""
"","1890","test_reset_password_cancel[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reset_pwd","",""
"","1487","test_page_loads[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reset_pwd","",""
"","2611","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","6023","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_pim","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-17","skipped","2026-08-17","","test_reset_pwd","",""
"","2565","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","818","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","350","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_login","",""
"","1185","test_create_employee_with_login","tests.api","2026-08-17","passed","2026-08-17","","test_employees_api","",""
"","3938","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reports","",""
"","1874","test_login_with_invalid_password[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_login","",""
"","1267","test_username_empty[chromium]","tests.ui","2026-08-17","passed","2026-08-17","","test_reset_pwd","",""
