"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8384","test_login_with_invalid_password[chromium]","tests.ui","2026-09-04","failed","2026-09-04","","test_login","",""
"","3106","test_page_loads[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reset_pwd","",""
"","0","test_reset_password[chromium]","tests.ui","2026-09-04","skipped","2026-09-04","","test_reset_pwd","",""
"","2301","test_username_empty[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reset_pwd","",""
"","951","test_login_with_empty_credentials[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_login","",""
"","20484","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_pim","",""
"","11783","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reports","",""
"","2504","test_create_employee_minimal","tests.api","2026-09-04","passed","2026-09-04","","test_employees_api","",""
"","11184","test_create_employee_with_login","tests.api","2026-09-04","passed","2026-09-04","","test_employees_api","",""
"","9063","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reports","",""
"","24876","test_create_and_delete_report[chromium]","tests.ui","2026-09-04","broken","2026-09-04","","test_reports","",""
"","4094","test_reset_password_cancel[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reset_pwd","",""
"","3918","test_create_employee_with_middle_name","tests.api","2026-09-04","passed","2026-09-04","","test_employees_api","",""
"","6706","test_get_employees_returns_data","tests.api","2026-09-04","passed","2026-09-04","","test_employees_api","",""
"","8479","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reports","",""
"","3344","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reports","",""
"","16326","test_successful_login[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_login","",""
"","27243","test_cancel_report_deletion[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reports","",""
"","18329","test_reset_restores_full_report_list[chromium]","tests.ui","2026-09-04","passed","2026-09-04","","test_reports","",""
"","21325","test_add_and_delete_employee[chromium]","tests.ui","2026-09-04","failed","2026-09-04","","test_pim","",""
"","31349","test_create_report[chromium]","tests.ui","2026-09-04","broken","2026-09-04","","test_reports","",""
