"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2341","test_successful_login[chromium]","tests.ui","2026-08-03","passed","2026-08-03","","test_login","",""
"","2316","test_page_loads[chromium]","tests.ui","2026-08-03","passed","2026-08-03","","test_reset_pwd","",""
"","31147","test_reset_password[chromium]","tests.ui","2026-08-03","broken","2026-08-03","","test_reset_pwd","",""
"","9014","test_create_report[chromium]","tests.ui","2026-08-03","passed","2026-08-03","","test_reports","",""
"","13616","test_create_and_delete_report[chromium]","tests.ui","2026-08-03","passed","2026-08-03","","test_reports","",""
"","0","test_get_employees_returns_data","tests.api","2026-08-03","skipped","2026-08-03","","test_employees_api","",""
