"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5917","test_create_report[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","1579","test_reset_password_cancel[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reset_pwd","",""
"","811","test_create_employee_with_login","tests.api","2026-08-15","passed","2026-08-15","","test_employees_api","",""
"","3936","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","320","test_get_employees_returns_data","tests.api","2026-08-15","passed","2026-08-15","","test_employees_api","",""
"","1616","test_login_with_invalid_password[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_login","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-15","skipped","2026-08-15","","test_reset_pwd","",""
"","998","test_page_loads[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reset_pwd","",""
"","3009","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","1625","test_successful_login[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_login","",""
"","6166","test_cancel_report_deletion[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","281","test_create_employee_with_middle_name","tests.api","2026-08-15","passed","2026-08-15","","test_employees_api","",""
"","5918","test_create_and_delete_report[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","2468","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","3072","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_pim","",""
"","996","test_username_empty[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reset_pwd","",""
"","1221","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
"","9636","test_add_and_delete_employee[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_pim","",""
"","330","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_login","",""
"","275","test_create_employee_minimal","tests.api","2026-08-15","passed","2026-08-15","","test_employees_api","",""
"","2496","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-15","passed","2026-08-15","","test_reports","",""
