"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4152","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","0","test_reset_password[chromium]","tests.ui","2026-09-03","skipped","2026-09-03","","test_reset_pwd","",""
"","3565","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","988","test_create_employee_with_middle_name","tests.api","2026-09-03","passed","2026-09-03","","test_employees_api","",""
"","1727","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","4650","test_reset_restores_full_report_list[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","1384","test_create_employee_with_login","tests.api","2026-09-03","passed","2026-09-03","","test_employees_api","",""
"","3335","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_pim","",""
"","5182","test_create_report[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","888","test_login_with_empty_credentials[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login","",""
"","999","test_username_empty[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reset_pwd","",""
"","1723","test_reset_password_cancel[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reset_pwd","",""
"","6523","test_cancel_report_deletion[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","1401","test_get_employees_returns_data","tests.api","2026-09-03","passed","2026-09-03","","test_employees_api","",""
"","2354","test_successful_login[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login","",""
"","6819","test_create_and_delete_report[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
"","3322","test_login_with_invalid_password[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login","",""
"","15195","test_add_and_delete_employee[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_pim","",""
"","981","test_page_loads[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reset_pwd","",""
"","1205","test_create_employee_minimal","tests.api","2026-09-03","passed","2026-09-03","","test_employees_api","",""
"","3610","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_reports","",""
