"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","test_create_employee_minimal","tests.api","2026-08-12","passed","2026-08-12","","test_employees_api","",""
"","3846","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","867","test_create_employee_with_login","tests.api","2026-08-12","passed","2026-08-12","","test_employees_api","",""
"","1238","test_username_empty[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reset_pwd","",""
"","2118","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","2106","test_successful_login[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_login","",""
"","368","test_get_employees_returns_data","tests.api","2026-08-12","passed","2026-08-12","","test_employees_api","",""
"","1698","test_login_with_invalid_password[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_login","",""
"","2437","test_reset_password_cancel[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reset_pwd","",""
"","6225","test_create_and_delete_report[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","6934","test_create_report[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","308","test_create_employee_with_middle_name","tests.api","2026-08-12","passed","2026-08-12","","test_employees_api","",""
"","6309","test_cancel_report_deletion[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","305","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_login","",""
"","10563","test_add_and_delete_employee[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_pim","",""
"","2105","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","4237","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_pim","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-12","skipped","2026-08-12","","test_reset_pwd","",""
"","1260","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","2608","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reports","",""
"","1118","test_page_loads[chromium]","tests.ui","2026-08-12","passed","2026-08-12","","test_reset_pwd","",""
