"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5575","test_create_and_delete_report[chromium]","tests.ui","2026-08-16","passed","2026-08-16","","test_reports","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-16","skipped","2026-08-16","","test_reset_pwd","",""
"","1116","test_page_loads[chromium]","tests.ui","2026-08-16","passed","2026-08-16","","test_reset_pwd","",""
"","6193","test_create_report[chromium]","tests.ui","2026-08-16","passed","2026-08-16","","test_reports","",""
"","894","test_create_employee_with_login","tests.api","2026-08-16","passed","2026-08-16","","test_employees_api","",""
"","322","test_create_employee_minimal","tests.api","2026-08-16","passed","2026-08-16","","test_employees_api","",""
"","1789","test_successful_login[chromium]","tests.ui","2026-08-16","passed","2026-08-16","","test_login","",""
"","591","test_get_employees_returns_data","tests.api","2026-08-16","passed","2026-08-16","","test_employees_api","",""
