"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5857","test_successful_login[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_login","",""
"","4034","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","14274","test_create_and_delete_report[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","7706","test_reset_password_cancel[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reset_pwd","",""
"","10127","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","326","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_login","",""
"","0","test_get_employees_returns_data","tests.api","2026-08-06","skipped","2026-08-06","","test_employees_api","",""
"","10839","test_add_and_delete_employee[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_pim","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-06","skipped","2026-08-06","","test_reset_pwd","",""
"","4247","test_username_empty[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reset_pwd","",""
"","3978","test_page_loads[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reset_pwd","",""
"","12588","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","14625","test_create_report[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","21319","test_cancel_report_deletion[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","4309","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_pim","",""
"","9893","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
"","1987","test_login_with_invalid_password[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_login","",""
"","11705","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-06","passed","2026-08-06","","test_reports","",""
