"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2711","test_page_loads[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reset_pwd","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-11","skipped","2026-08-11","","test_reset_pwd","",""
"","1297","test_create_employee_with_middle_name","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","7160","test_successful_login[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_login","",""
"","3164","test_create_employee_with_login","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","1798","test_get_employees_returns_data","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","612","test_create_employee_minimal","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","11864","test_create_and_delete_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","23398","test_create_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
