"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7416","test_add_and_delete_employee[chromium]","tests.ui","2026-09-11","failed","2026-09-11","","test_pim","",""
"","24121","test_create_report[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","4554","test_reset_password_cancel[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reset_pwd","",""
"","1895","test_create_employee_minimal","tests.api","2026-09-11","passed","2026-09-11","","test_employees_api","",""
"","1745","test_page_loads[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reset_pwd","",""
"","3708","test_login_with_invalid_password[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_login","",""
"","2151","test_username_empty[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reset_pwd","",""
"","955","test_login_with_empty_credentials[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_login","",""
"","5396","test_reset_restores_full_report_list[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","17117","test_create_and_delete_report[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","4829","test_create_employee_with_login","tests.api","2026-09-11","passed","2026-09-11","","test_employees_api","",""
"","13683","test_cancel_report_deletion[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","7891","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","0","test_reset_password[chromium]","tests.ui","2026-09-11","skipped","2026-09-11","","test_reset_pwd","",""
"","1890","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","4595","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","3950","test_successful_login[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_login","",""
"","2629","test_get_employees_returns_data","tests.api","2026-09-11","passed","2026-09-11","","test_employees_api","",""
"","1106","test_create_employee_with_middle_name","tests.api","2026-09-11","passed","2026-09-11","","test_employees_api","",""
"","3844","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_reports","",""
"","10838","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-09-11","passed","2026-09-11","","test_pim","",""
