"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4005","test_get_employees_returns_data","tests.api","2026-08-21","passed","2026-08-21","","test_employees_api","",""
"","4001","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","1103","test_create_employee_minimal","tests.api","2026-08-21","passed","2026-08-21","","test_employees_api","",""
"","678","test_create_employee_with_middle_name","tests.api","2026-08-21","passed","2026-08-21","","test_employees_api","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-21","skipped","2026-08-21","","test_reset_pwd","",""
"","1503","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","4975","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","302","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","6327","test_create_report[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","7422","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","8413","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_pim","",""
"","8605","test_add_and_delete_employee[chromium]","tests.ui","2026-08-21","failed","2026-08-21","","test_pim","",""
"","5629","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","3532","test_successful_login[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","1301","test_create_employee_with_login","tests.api","2026-08-21","passed","2026-08-21","","test_employees_api","",""
"","8393","test_cancel_report_deletion[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","4795","test_login_with_invalid_password[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_login","",""
"","8559","test_create_and_delete_report[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reports","",""
"","1317","test_username_empty[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reset_pwd","",""
"","4630","test_reset_password_cancel[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reset_pwd","",""
"","2295","test_page_loads[chromium]","tests.ui","2026-08-21","passed","2026-08-21","","test_reset_pwd","",""
