"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8484","test_create_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","2407","test_reset_password_cancel[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reset_pwd","",""
"","2571","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","3919","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","321","test_create_employee_with_middle_name","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-11","skipped","2026-08-11","","test_reset_pwd","",""
"","320","test_create_employee_minimal","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","1870","test_username_empty[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reset_pwd","",""
"","2615","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","10373","test_add_and_delete_employee[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_pim","",""
"","334","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_login","",""
"","1633","test_login_with_invalid_password[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_login","",""
"","5757","test_create_and_delete_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","881","test_create_employee_with_login","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","6209","test_cancel_report_deletion[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","2599","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","1154","test_page_loads[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reset_pwd","",""
"","3207","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_pim","",""
"","1777","test_successful_login[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_login","",""
"","1288","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","371","test_get_employees_returns_data","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
