"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1088","test_page_loads[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reset_pwd","",""
"","6796","test_create_and_delete_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
"","260","test_create_employee_with_middle_name","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","1862","test_successful_login[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_login","",""
"","279","test_create_employee_minimal","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","395","test_get_employees_returns_data","tests.api","2026-08-11","failed","2026-08-11","","test_employees_api","",""
"","830","test_create_employee_with_login","tests.api","2026-08-11","passed","2026-08-11","","test_employees_api","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-11","skipped","2026-08-11","","test_reset_pwd","",""
"","5150","test_create_report[chromium]","tests.ui","2026-08-11","passed","2026-08-11","","test_reports","",""
