"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14318","test_add_and_delete_employee[chromium]","tests.ui","2026-09-02","failed","2026-09-02","","test_pim","",""
"","2835","test_create_employee_minimal","tests.api","2026-09-02","passed","2026-09-02","","test_employees_api","",""
"","30007","test_page_loads[chromium]","tests.ui","2026-09-02","broken","2026-09-02","","test_reset_pwd","",""
"","3297","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","6020","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","18166","test_create_and_delete_report[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","8212","test_reset_restores_full_report_list[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","12033","test_successful_login[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_login","",""
"","4640","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","30006","test_reset_password_cancel[chromium]","tests.ui","2026-09-02","broken","2026-09-02","","test_reset_pwd","",""
"","2911","test_login_with_empty_credentials[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_login","",""
"","30007","test_username_empty[chromium]","tests.ui","2026-09-02","broken","2026-09-02","","test_reset_pwd","",""
"","1579","test_get_employees_returns_data","tests.api","2026-09-02","passed","2026-09-02","","test_employees_api","",""
"","10506","test_create_employee_with_login","tests.api","2026-09-02","passed","2026-09-02","","test_employees_api","",""
"","4598","test_create_employee_with_middle_name","tests.api","2026-09-02","passed","2026-09-02","","test_employees_api","",""
"","0","test_reset_password[chromium]","tests.ui","2026-09-02","skipped","2026-09-02","","test_reset_pwd","",""
"","7890","test_login_with_invalid_password[chromium]","tests.ui","2026-09-02","failed","2026-09-02","","test_login","",""
"","5568","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","12709","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_pim","",""
"","9467","test_cancel_report_deletion[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
"","25610","test_create_report[chromium]","tests.ui","2026-09-02","passed","2026-09-02","","test_reports","",""
