"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1145","test_username_empty[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reset_pwd","",""
"","1953","test_login_with_invalid_password[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_login","",""
"","298","test_create_employee_minimal","tests.api","2026-08-30","passed","2026-08-30","","test_employees_api","",""
"","2550","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","2673","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","7075","test_cancel_report_deletion[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","1331","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-30","skipped","2026-08-30","","test_reset_pwd","",""
"","3075","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","9514","test_add_and_delete_employee[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_pim","",""
"","406","test_create_employee_with_middle_name","tests.api","2026-08-30","passed","2026-08-30","","test_employees_api","",""
"","5640","test_create_report[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","4154","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_pim","",""
"","409","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_login","",""
"","7602","test_create_and_delete_report[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","987","test_create_employee_with_login","tests.api","2026-08-30","passed","2026-08-30","","test_employees_api","",""
"","4409","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reports","",""
"","2219","test_successful_login[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_login","",""
"","487","test_get_employees_returns_data","tests.api","2026-08-30","passed","2026-08-30","","test_employees_api","",""
"","989","test_page_loads[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reset_pwd","",""
"","2262","test_reset_password_cancel[chromium]","tests.ui","2026-08-30","passed","2026-08-30","","test_reset_pwd","",""
