"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6225","test_cancel_report_deletion[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","1711","test_login_with_invalid_password[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_login","",""
"","2004","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","6351","test_create_and_delete_report[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","5355","test_create_report[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","1031","test_page_loads[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reset_pwd","",""
"","2529","test_reset_password_cancel[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reset_pwd","",""
"","3108","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","1317","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","3207","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_pim","",""
"","299","test_create_employee_with_middle_name","tests.api","2026-08-13","passed","2026-08-13","","test_employees_api","",""
"","3426","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-13","skipped","2026-08-13","","test_reset_pwd","",""
"","1168","test_username_empty[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reset_pwd","",""
"","3133","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_reports","",""
"","394","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_login","",""
"","9857","test_add_and_delete_employee[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_pim","",""
"","334","test_get_employees_returns_data","tests.api","2026-08-13","passed","2026-08-13","","test_employees_api","",""
"","2047","test_successful_login[chromium]","tests.ui","2026-08-13","passed","2026-08-13","","test_login","",""
"","873","test_create_employee_with_login","tests.api","2026-08-13","passed","2026-08-13","","test_employees_api","",""
"","302","test_create_employee_minimal","tests.api","2026-08-13","passed","2026-08-13","","test_employees_api","",""
