"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2160","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","5683","test_create_report[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","3646","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","2784","test_page_loads[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reset_pwd","",""
"","0","test_reset_password[chromium]","tests.ui","2026-08-14","skipped","2026-08-14","","test_reset_pwd","",""
"","1778","test_successful_login[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_login","",""
"","3297","test_username_empty[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reset_pwd","",""
"","6305","test_cancel_report_deletion[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","334","test_login_with_empty_credentials[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_login","",""
"","4263","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","1715","test_login_with_invalid_password[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_login","",""
"","6279","test_create_and_delete_report[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","3771","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_pim","",""
"","9611","test_add_and_delete_employee[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_pim","",""
"","892","test_create_employee_with_login","tests.api","2026-08-14","passed","2026-08-14","","test_employees_api","",""
"","317","test_create_employee_minimal","tests.api","2026-08-14","passed","2026-08-14","","test_employees_api","",""
"","5477","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
"","6129","test_reset_password_cancel[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reset_pwd","",""
"","319","test_create_employee_with_middle_name","tests.api","2026-08-14","passed","2026-08-14","","test_employees_api","",""
"","362","test_get_employees_returns_data","tests.api","2026-08-14","passed","2026-08-14","","test_employees_api","",""
"","8683","test_reset_restores_full_report_list[chromium]","tests.ui","2026-08-14","passed","2026-08-14","","test_reports","",""
