"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35401","test_search_results_are_filtered_to_the_searched_report[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reports","",""
"","4794","test_get_employees_returns_data","tests.api","2026-09-22","passed","2026-09-22","","test_employees_api","",""
"","3273","test_create_employee_minimal","tests.api","2026-09-22","passed","2026-09-22","","test_employees_api","",""
"","34421","test_reset_password_cancel[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reset_pwd","",""
"","4919","test_create_employee_with_middle_name","tests.api","2026-09-22","passed","2026-09-22","","test_employees_api","",""
"","22827","test_create_report[chromium]","tests.ui","2026-09-22","failed","2026-09-22","","test_reports","",""
"","35581","test_cancel_report_deletion[chromium]","tests.ui","2026-09-22","failed","2026-09-22","","test_reports","",""
"","22564","test_search_for_non_existent_report_shows_no_results[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reports","",""
"","3513","test_login_with_empty_credentials[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_login","",""
"","0","test_reset_password[chromium]","tests.ui","2026-09-22","skipped","2026-09-22","","test_reset_pwd","",""
"","32903","test_add_and_delete_employee[chromium]","tests.ui","2026-09-22","failed","2026-09-22","","test_pim","",""
"","31478","test_search_by_existing_report_returns_matching_row[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reports","",""
"","34983","test_create_and_delete_report[chromium]","tests.ui","2026-09-22","broken","2026-09-22","","test_reports","",""
"","45029","test_reset_restores_full_report_list[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reports","",""
"","38485","test_autocomplete_suggests_matching_report_names[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reports","",""
"","16300","test_create_employee_with_login","tests.api","2026-09-22","passed","2026-09-22","","test_employees_api","",""
"","19305","test_search_by_employee_name_filters_results[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_pim","",""
"","17091","test_page_loads[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reset_pwd","",""
"","9896","test_login_with_invalid_password[chromium]","tests.ui","2026-09-22","failed","2026-09-22","","test_login","",""
"","19482","test_username_empty[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_reset_pwd","",""
"","26924","test_successful_login[chromium]","tests.ui","2026-09-22","passed","2026-09-22","","test_login","",""
